Genero,Especie,Ameaca
Amadonastur,Amadonastur lacernulatus,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura
Amadonastur,Amadonastur lacernulatus,2.1 - Culturas anuais e perenes não-madeireiras
Amadonastur,Amadonastur lacernulatus,2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura
Amadonastur,Amadonastur lacernulatus,2.3 - Pecuária
Amadonastur,Amadonastur lacernulatus,2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos
Amadonastur,Amadonastur lacernulatus,5.1 - Caça e captura de animais terrestres ou marinhos
Amadonastur,Amadonastur lacernulatus,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amadonastur,Amadonastur lacernulatus,5.1.1.6 - Retaliação/controle
Amazona,Amazona pretrei,2 - Agropecuária e Aquacultura
Amazona,Amazona pretrei,2.3 - Pecuária
Amazona,Amazona pretrei,2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos
Amazona,Amazona pretrei,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona pretrei,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona pretrei,5.1.1.1 - Uso de subsistência/escambo local 5 - Uso de recursos biológicos
Amazona,Amazona pretrei,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona pretrei,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona pretrei,5.1.1.2 - Comercial - Nacional/Local 5 - Uso de recursos biológicos
Amazona,Amazona pretrei,5.3 - Extração florestal
Amazona,Amazona pretrei,5.3.2 - Uso intencional - larga escala 8 - Espécies invasoras problemáticas e doenças
Amazona,Amazona pretrei,8.5 - Doenças provocadas por vírus ou príons
Amazona,Amazona pretrei,8.5.2 - Espécie conhecida (Doença)
Amazona,Amazona rhodocorytha,1 - Desenvolvimento residencial e comercial
Amazona,Amazona rhodocorytha,1.1 - Expansão urbana 5 - Uso de recursos biológicos
Amazona,Amazona rhodocorytha,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona rhodocorytha,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona rhodocorytha,5.1.1.2 - Comercial - Nacional/Local 5 - Uso de recursos biológicos
Amazona,Amazona rhodocorytha,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona rhodocorytha,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona rhodocorytha,5.1.1.3 - Comercial - Internacional
Amazona,Amazona vinacea,5 - Uso de recursos biológicos
Amazona,Amazona vinacea,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona vinacea,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona vinacea,5.1.1.1 - Uso de subsistência/escambo local 5 - Uso de recursos biológicos
Amazona,Amazona vinacea,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona vinacea,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona vinacea,5.1.1.2 - Comercial - Nacional/Local 5 - Uso de recursos biológicos
Amazona,Amazona vinacea,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona vinacea,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona vinacea,5.1.1.4 - Esportiva 5 - Uso de recursos biológicos
Amazona,Amazona vinacea,5.1 - Caça e captura de animais terrestres ou marinhos
Amazona,Amazona vinacea,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Amazona,Amazona vinacea,5.1.1.6 - Retaliação/controle 5 - Uso de recursos biológicos
Amazona,Amazona vinacea,5.3 - Extração florestal
Amazona,Amazona vinacea,5.3.2 - Uso intencional - larga escala 8 - Espécies invasoras problemáticas e doenças
Amazona,Amazona vinacea,8.3 - Espécies nativas problemáticas
Amazona,Amazona vinacea,8.3.2 - Espécie não conhecida
Amazona,Amazona vinacea,8.3.2.1 - Competidores
Anodorhynchus,Anodorhynchus glaucus,2 - Agropecuária e Aquacultura
Anodorhynchus,Anodorhynchus glaucus,2.1 - Culturas anuais e perenes não-madeireiras 2 - Agropecuária e Aquacultura
Anodorhynchus,Anodorhynchus glaucus,2.3 - Pecuária 5 - Uso de recursos biológicos
Anodorhynchus,Anodorhynchus glaucus,5.1 - Caça e captura de animais terrestres ou marinhos
Anodorhynchus,Anodorhynchus glaucus,5.1.1 - Caça/captura intencional (a espécie é o alvo) 6 - Distúrbios humanos
Anodorhynchus,Anodorhynchus glaucus,6.2 - Exercícios militares distúrbio civil guerra 8 - Espécies invasoras problemáticas e doenças
Anodorhynchus,Anodorhynchus glaucus,8.8 - Doenças de causas desconhecidas
Anumara,Anumara forbesi,2 - Agropecuária e Aquacultura
Anumara,Anumara forbesi,2.1 - Culturas anuais e perenes não-madeireiras
Anumara,Anumara forbesi,2.1.4 - Agricultura de escala desconhecida 5 - Uso de recursos biológicos
Anumara,Anumara forbesi,5.1 - Caça e captura de animais terrestres ou marinhos
Anumara,Anumara forbesi,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Anumara,Anumara forbesi,5.1.1.2 - Comercial - Nacional/Local 8 - Espécies invasoras problemáticas e doenças
Anumara,Anumara forbesi,8.3 - Espécies nativas problemáticas
Anumara,Anumara forbesi,8.3.1 - Espécie conhecida
Anumara,Anumara forbesi,8.3.1.4 - Patógenos/parasitas 9 - Poluição
Anumara,Anumara forbesi,9.3 - Agropecuária e florestal
Anumara,Anumara forbesi,9.3.3 - Herbicidas e pesticidas
Apostolepis,Apostolepis arenaria,2 - Agropecuária e Aquacultura
Apostolepis,Apostolepis arenaria,2.1 - Culturas anuais e perenes não-madeireiras
Apostolepis,Apostolepis arenaria,2.1.2 - Agricultura em pequenas propriedades 3 - Produção energética e mineração
Apostolepis,Apostolepis arenaria,3.2 - Mineração
Apostolepis,Apostolepis arenaria,3.2.1 - Extração de areia 3 - Produção energética e mineração
Apostolepis,Apostolepis arenaria,3.3 - Energia renovável
Apostolepis,Apostolepis arenaria,3.3.2 - Parques eólicos 5 - Uso de recursos biológicos
Apostolepis,Apostolepis arenaria,5.3 - Extração florestal
Apostolepis,Apostolepis arenaria,5.3.3 - Efeitos indiretos - subsistência/pequena escala
Apostolepis,Apostolepis gaboi,3 - Produção energética e mineração
Apostolepis,Apostolepis gaboi,3.3 - Energia renovável
Apostolepis,Apostolepis gaboi,3.3.1 - Hidrelétricas 3 - Produção energética e mineração
Apostolepis,Apostolepis gaboi,3.3 - Energia renovável
Apostolepis,Apostolepis gaboi,3.3.2 - Parques eólicos 7 - Modificações nos sistemas naturais
Apostolepis,Apostolepis gaboi,7.3 - Outras modificações nos ecossistemas
Apostolepis,Apostolepis quirogai,2 - Agropecuária e Aquacultura
Apostolepis,Apostolepis quirogai,2.1 - Culturas anuais e perenes não-madeireiras
Apostolepis,Apostolepis quirogai,2.1.3 - Agricultura agro-industrial
Apostolepis,Apostolepis striata,2 - Agropecuária e Aquacultura
Apostolepis,Apostolepis striata,2.1 - Culturas anuais e perenes não-madeireiras 2 - Agropecuária e Aquacultura
Apostolepis,Apostolepis striata,2.3 - Pecuária
Actinote,Actinote quadra,1 - Desenvolvimento residencial e comercial 2 - Agropecuária e Aquacultura
Actinote,Actinote zikani,1 - Desenvolvimento residencial e comercial
Actinote,Actinote zikani,1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial
Actinote,Actinote zikani,1.2 - Áreas comerciais e industriais 9 - Poluição
Actinote,Actinote zikani,9.5 - Poluição do ar
Actinote,Actinote zikani,9.5.1 - Chuva ácida 9 - Poluição
Actinote,Actinote zikani,9.5 - Poluição do ar
Actinote,Actinote zikani,9.5.2 - Fumaça (industrial veículos etc)
Aguarunichthys,Aguarunichthys tocantinsensis,3 - Produção energética e mineração
Aguarunichthys,Aguarunichthys tocantinsensis,3.3 - Energia renovável
Aguarunichthys,Aguarunichthys tocantinsensis,3.3.1 - Hidrelétricas 7 - Modificações nos sistemas naturais
Anthus,Anthus nattereri,2 - Agropecuária e Aquacultura
Anthus,Anthus nattereri,2.1 - Culturas anuais e perenes não-madeireiras
Anthus,Anthus nattereri,2.1.3 - Agricultura agro-industrial 2 - Agropecuária e Aquacultura
Anthus,Anthus nattereri,2.2 - Silvicultura
Anthus,Anthus nattereri,2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura
Anthus,Anthus nattereri,2.3 - Pecuária
Anthus,Anthus nattereri,2.3.4 - Pecuária em escala desconhecida 6 - Distúrbios humanos
Anthus,Anthus nattereri,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Anthus,Anthus nattereri,7.1 - Incêndios e supressão de incêndios
Anthus,Anthus nattereri,7.1.1 - Aumento da frequência/intensidade de incêndios 8 - Espécies invasoras problemáticas e doenças
Anthus,Anthus nattereri,8.2 - Espécies domésticas
Anthus,Anthus nattereri,8.2.1 - Competidores 9 - Poluição
Anthus,Anthus nattereri,9.3 - Agropecuária e florestal
Anthus,Anthus nattereri,9.3.3 - Herbicidas e pesticidas
Alouatta,Alouatta belzebul,11 - Mudanças e extremos climáticos
Alouatta,Alouatta belzebul,11.1 - Mudança/alteração de habitat 1 - Desenvolvimento residencial e comercial
Alouatta,Alouatta belzebul,1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial
Alouatta,Alouatta belzebul,1.4 - Assentamentos e pequenas propriedades rurais 2 - Agropecuária e Aquacultura
Alouatta,Alouatta belzebul,2.1 - Culturas anuais e perenes não-madeireiras
Alouatta,Alouatta belzebul,2.1.3 - Agricultura agro-industrial 2 - Agropecuária e Aquacultura
Alouatta,Alouatta belzebul,2.2 - Silvicultura
Alouatta,Alouatta belzebul,2.2.2 - Plantações agro-industriais 2 - Agropecuária e Aquacultura
Alouatta,Alouatta belzebul,2.3 - Pecuária
Alouatta,Alouatta belzebul,2.3.3 - Pecuária agro-industrial 3 - Produção energética e mineração
Alouatta,Alouatta belzebul,3.3 - Energia renovável
Alouatta,Alouatta belzebul,3.3.1 - Hidrelétricas 4 - Transportes e serviços de transmissão
Alouatta,Alouatta belzebul,4.1 - Estradas e ferrovias 4 - Transportes e serviços de transmissão
Alouatta,Alouatta belzebul,4.2 - Atropelamentos 4 - Transportes e serviços de transmissão
Alouatta,Alouatta belzebul,4.7 - Linhas de força/transmissão 5 - Uso de recursos biológicos
Alouatta,Alouatta belzebul,5.1 - Caça e captura de animais terrestres ou marinhos
Alouatta,Alouatta belzebul,5.1.1 - Caça/captura intencional (a espécie é o alvo) 5 - Uso de recursos biológicos
Alouatta,Alouatta belzebul,5.3 - Extração florestal
Alouatta,Alouatta belzebul,5.3.1 - Uso intencional - subsistência/pequena escala 5 - Uso de recursos biológicos
Alouatta,Alouatta belzebul,5.3 - Extração florestal
Alouatta,Alouatta belzebul,5.3.2 - Uso intencional - larga escala 7 - Modificações nos sistemas naturais
Alouatta,Alouatta belzebul,7.1 - Incêndios e supressão de incêndios
Alouatta,Alouatta belzebul,7.1.1 - Aumento da frequência/intensidade de incêndios
Alouatta,Alouatta discolor,1 - Desenvolvimento residencial e comercial
Alouatta,Alouatta discolor,1.4 - Assentamentos e pequenas propriedades rurais 2 - Agropecuária e Aquacultura
Alouatta,Alouatta discolor,2.1 - Culturas anuais e perenes não-madeireiras
Alouatta,Alouatta discolor,2.1.3 - Agricultura agro-industrial 2 - Agropecuária e Aquacultura
Alouatta,Alouatta discolor,2.3 - Pecuária
Alouatta,Alouatta discolor,2.3.3 - Pecuária agro-industrial 3 - Produção energética e mineração
Alouatta,Alouatta discolor,3.2 - Mineração
Alouatta,Alouatta discolor,3.2.4 - Extração de minérios - garimpo 3 - Produção energética e mineração
Alouatta,Alouatta discolor,3.3 - Energia renovável
Alouatta,Alouatta discolor,3.3.1 - Hidrelétricas 4 - Transportes e serviços de transmissão
Alouatta,Alouatta discolor,4.1 - Estradas e ferrovias 5 - Uso de recursos biológicos
Alouatta,Alouatta discolor,5.1 - Caça e captura de animais terrestres ou marinhos
Alouatta,Alouatta discolor,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Alouatta,Alouatta ululata,11 - Mudanças e extremos climáticos
Alouatta,Alouatta ululata,11.2 - Secas 1 - Desenvolvimento residencial e comercial
Alouatta,Alouatta ululata,1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial
Alouatta,Alouatta ululata,1.4 - Assentamentos e pequenas propriedades rurais 2 - Agropecuária e Aquacultura
Alouatta,Alouatta ululata,2.1 - Culturas anuais e perenes não-madeireiras
Alouatta,Alouatta ululata,2.1.3 - Agricultura agro-industrial 2 - Agropecuária e Aquacultura
Alouatta,Alouatta ululata,2.3 - Pecuária
Alouatta,Alouatta ululata,2.3.3 - Pecuária agro-industrial 3 - Produção energética e mineração
Alouatta,Alouatta ululata,3.2 - Mineração
Alouatta,Alouatta ululata,3.2.3 - Extração de minérios - subsolo 3 - Produção energética e mineração
Alouatta,Alouatta ululata,3.3 - Energia renovável
Alouatta,Alouatta ululata,3.3.1 - Hidrelétricas 5 - Uso de recursos biológicos
Alouatta,Alouatta ululata,5.1 - Caça e captura de animais terrestres ou marinhos
Alouatta,Alouatta ululata,5.1.1 - Caça/captura intencional (a espécie é o alvo) 8 - Espécies invasoras problemáticas e doenças
Alouatta,Alouatta ululata,8.4 - Espécies problemáticas de origem desconhecida
Alouatta,Alouatta ululata,8.4.2 - Espécie não conhecida
Alouatta,Alouatta ululata,8.4.2.1 - Competidores
Aceratobasis,Aceratobasis cornicauda,1 - Desenvolvimento residencial e comercial
Aceratobasis,Aceratobasis cornicauda,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura 2 - Agropecuária e Aquacultura
Aceratobasis,Aceratobasis cornicauda,2.2 - Silvicultura
Aceratobasis,Aceratobasis mourei,1 - Desenvolvimento residencial e comercial
Aceratobasis,Aceratobasis mourei,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura 2 - Agropecuária e Aquacultura
Aceratobasis,Aceratobasis mourei,2.2 - Silvicultura
Adebrotus,Adebrotus lugoi,2 - Agropecuária e Aquacultura
Adebrotus,Adebrotus lugoi,2.3 - Pecuária
Adebrotus,Adebrotus lugoi,2.3.4 - Pecuária em escala desconhecida 9 - Poluição
Adebrotus,Adebrotus lugoi,9.1 - Doméstica e urbana - escoamento de água
Adebrotus,Adebrotus lugoi,9.1.1 - Esgoto 9 - Poluição
Adebrotus,Adebrotus lugoi,9.3 - Agropecuária e florestal
Adebrotus,Adebrotus lugoi,9.3.3 - Herbicidas e pesticidas
Arawacus,Arawacus aethesa,1 - Desenvolvimento residencial e comercial
Arawacus,Arawacus aethesa,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura
Arawacus,Arawacus aethesa,2.1 - Culturas anuais e perenes não-madeireiras
Arawacus,Arawacus aethesa,2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura
Arawacus,Arawacus aethesa,2.3 - Pecuária
Arawacus,Arawacus aethesa,2.3.4 - Pecuária em escala desconhecida 7 - Modificações nos sistemas naturais
Arawacus,Arawacus aethesa,7.1 - Incêndios e supressão de incêndios
Arawacus,Arawacus aethesa,7.1.1 - Aumento da frequência/intensidade de incêndios 9 - Poluição
Arawacus,Arawacus aethesa,9.3 - Agropecuária e florestal
Arawacus,Arawacus aethesa,9.3.3 - Herbicidas e pesticidas
Ameiva,Ameiva parecis,2 - Agropecuária e Aquacultura
Ameiva,Ameiva parecis,2.1 - Culturas anuais e perenes não-madeireiras
Ameiva,Ameiva parecis,2.1.3 - Agricultura agro-industrial 2 - Agropecuária e Aquacultura
Ameiva,Ameiva parecis,2.3 - Pecuária
Ameiva,Ameiva parecis,2.3.3 - Pecuária agro-industrial 3 - Produção energética e mineração
Ameiva,Ameiva parecis,3.3 - Energia renovável
Ameiva,Ameiva parecis,3.3.1 - Hidrelétricas 4 - Transportes e serviços de transmissão
Ameiva,Ameiva parecis,4.1 - Estradas e ferrovias 4 - Transportes e serviços de transmissão
Ameiva,Ameiva parecis,4.8 - Hidrovias 9 - Poluição
Ameiva,Ameiva parecis,9.3 - Agropecuária e florestal
Ameiva,Ameiva parecis,9.3.3 - Herbicidas e pesticidas
Ameivula,Ameivula nativo,1 - Desenvolvimento residencial e comercial
Ameivula,Ameivula nativo,1.1 - Expansão urbana
Amphisbaena,Amphisbaena arda,2 - Agropecuária e Aquacultura
Amphisbaena,Amphisbaena arda,2.1 - Culturas anuais e perenes não-madeireiras 3 - Produção energética e mineração
Amphisbaena,Amphisbaena arda,3.2 - Mineração
Amphisbaena,Amphisbaena arda,3.2.1 - Extração de areia 3 - Produção energética e mineração
Amphisbaena,Amphisbaena arda,3.3 - Energia renovável
Amphisbaena,Amphisbaena arda,3.3.3 - Parque de energia solar 5 - Uso de recursos biológicos
Amphisbaena,Amphisbaena arda,5.3 - Extração florestal
Amphisbaena,Amphisbaena arda,5.3.3 - Efeitos indiretos - subsistência/pequena escala
Amphisbaena,Amphisbaena frontalis,2 - Agropecuária e Aquacultura
Amphisbaena,Amphisbaena frontalis,2.1 - Culturas anuais e perenes não-madeireiras 3 - Produção energética e mineração
Amphisbaena,Amphisbaena frontalis,3.2 - Mineração
Amphisbaena,Amphisbaena frontalis,3.2.1 - Extração de areia 3 - Produção energética e mineração
Amphisbaena,Amphisbaena frontalis,3.3 - Energia renovável
Amphisbaena,Amphisbaena frontalis,3.3.3 - Parque de energia solar 5 - Uso de recursos biológicos
Amphisbaena,Amphisbaena frontalis,5.3 - Extração florestal
Amphisbaena,Amphisbaena frontalis,5.3.3 - Efeitos indiretos - subsistência/pequena escala
Amphisbaena,Amphisbaena nigricauda,1 - Desenvolvimento residencial e comercial
Amphisbaena,Amphisbaena nigricauda,1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial
Amphisbaena,Amphisbaena nigricauda,1.3 - Áreas de turismo e recreação 3 - Produção energética e mineração
Amphisbaena,Amphisbaena nigricauda,3.2 - Mineração
Amphisbaena,Amphisbaena nigricauda,3.2.1 - Extração de areia 4 - Transportes e serviços de transmissão
Amphisbaena,Amphisbaena nigricauda,4.3 - Portos
Amphisbaena,Amphisbaena supernumeraria,1 - Desenvolvimento residencial e comercial
Amphisbaena,Amphisbaena supernumeraria,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura
Amphisbaena,Amphisbaena supernumeraria,2.1 - Culturas anuais e perenes não-madeireiras
Amphisbaena,Amphisbaena supernumeraria,2.1.3 - Agricultura agro-industrial 2 - Agropecuária e Aquacultura
Amphisbaena,Amphisbaena supernumeraria,2.3 - Pecuária
Amphisbaena,Amphisbaena supernumeraria,2.3.4 - Pecuária em escala desconhecida
Amphisbaena,Amphisbaena uroxena,2 - Agropecuária e Aquacultura
Amphisbaena,Amphisbaena uroxena,2.1 - Culturas anuais e perenes não-madeireiras
Amphisbaena,Amphisbaena uroxena,2.1.3 - Agricultura agro-industrial 7 - Modificações nos sistemas naturais
Amphisbaena,Amphisbaena uroxena,7.1 - Incêndios e supressão de incêndios
Amphisbaena,Amphisbaena uroxena,7.1.1 - Aumento da frequência/intensidade de incêndios 9 - Poluição
Amphisbaena,Amphisbaena uroxena,9.3 - Agropecuária e florestal
Amphisbaena,Amphisbaena uroxena,9.3.3 - Herbicidas e pesticidas
Ancistrus,Ancistrus cryptophthalmus,2 - Agropecuária e Aquacultura
Ancistrus,Ancistrus cryptophthalmus,2.1 - Culturas anuais e perenes não-madeireiras
Ancistrus,Ancistrus cryptophthalmus,2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura
Ancistrus,Ancistrus cryptophthalmus,2.3 - Pecuária
Ancistrus,Ancistrus cryptophthalmus,2.3.4 - Pecuária em escala desconhecida 6 - Distúrbios humanos
Ancistrus,Ancistrus cryptophthalmus,6.1 - Atividades recreacionais/turísticas 9 - Poluição
Ancistrus,Ancistrus cryptophthalmus,9.3 - Agropecuária e florestal
Ancistrus,Ancistrus cryptophthalmus,9.3.2 - Erosão do solo/sedimentação 9 - Poluição
Ancistrus,Ancistrus cryptophthalmus,9.3 - Agropecuária e florestal
Ancistrus,Ancistrus cryptophthalmus,9.3.3 - Herbicidas e pesticidas
Arhysosage,Arhysosage cactorum,2 - Agropecuária e Aquacultura
Arhysosage,Arhysosage cactorum,2.1 - Culturas anuais e perenes não-madeireiras
Arhysosage,Arhysosage cactorum,2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura
Arhysosage,Arhysosage cactorum,2.2 - Silvicultura
Arhysosage,Arhysosage cactorum,2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura
Arhysosage,Arhysosage cactorum,2.3 - Pecuária
Arhysosage,Arhysosage cactorum,2.3.4 - Pecuária em escala desconhecida 7 - Modificações nos sistemas naturais
Arhysosage,Arhysosage cactorum,7.1 - Incêndios e supressão de incêndios
Arhysosage,Arhysosage cactorum,7.1.1 - Aumento da frequência/intensidade de incêndios 9 - Poluição
Arhysosage,Arhysosage cactorum,9.3 - Agropecuária e florestal
Arhysosage,Arhysosage cactorum,9.3.3 - Herbicidas e pesticidas
Altitatiayus,Altitatiayus campoi,6 - Distúrbios humanos
Altitatiayus,Altitatiayus campoi,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Altitatiayus,Altitatiayus campoi,7.1 - Incêndios e supressão de incêndios
Altitatiayus,Altitatiayus campoi,7.1.1 - Aumento da frequência/intensidade de incêndios
Altitatiayus,Altitatiayus dulceae,11 - Mudanças e extremos climáticos 6 - Distúrbios humanos
Altitatiayus,Altitatiayus dulceae,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Altitatiayus,Altitatiayus dulceae,7.1 - Incêndios e supressão de incêndios
Altitatiayus,Altitatiayus dulceae,7.1.1 - Aumento da frequência/intensidade de incêndios
Altitatiayus,Altitatiayus godinhorum,11 - Mudanças e extremos climáticos 6 - Distúrbios humanos
Altitatiayus,Altitatiayus godinhorum,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Altitatiayus,Altitatiayus godinhorum,7.1 - Incêndios e supressão de incêndios
Altitatiayus,Altitatiayus godinhorum,7.1.1 - Aumento da frequência/intensidade de incêndios
Altitatiayus,Altitatiayus koikei,11 - Mudanças e extremos climáticos 6 - Distúrbios humanos
Altitatiayus,Altitatiayus koikei,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Altitatiayus,Altitatiayus koikei,7.1 - Incêndios e supressão de incêndios
Altitatiayus,Altitatiayus koikei,7.1.1 - Aumento da frequência/intensidade de incêndios
Altitatiayus,Altitatiayus rotundatus,11 - Mudanças e extremos climáticos 6 - Distúrbios humanos
Altitatiayus,Altitatiayus rotundatus,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Altitatiayus,Altitatiayus rotundatus,7.1 - Incêndios e supressão de incêndios
Altitatiayus,Altitatiayus rotundatus,7.1.1 - Aumento da frequência/intensidade de incêndios
Altitatiayus,Altitatiayus ruficollis,11 - Mudanças e extremos climáticos 6 - Distúrbios humanos
Altitatiayus,Altitatiayus ruficollis,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Altitatiayus,Altitatiayus ruficollis,7.1 - Incêndios e supressão de incêndios
Altitatiayus,Altitatiayus ruficollis,7.1.1 - Aumento da frequência/intensidade de incêndios
Altitatiayus,Altitatiayus trifurcatus,11 - Mudanças e extremos climáticos 6 - Distúrbios humanos
Altitatiayus,Altitatiayus trifurcatus,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Altitatiayus,Altitatiayus trifurcatus,7.1 - Incêndios e supressão de incêndios
Altitatiayus,Altitatiayus trifurcatus,7.1.1 - Aumento da frequência/intensidade de incêndios
Amydetes,Amydetes bellorum,1 - Desenvolvimento residencial e comercial
Amydetes,Amydetes bellorum,1.1 - Expansão urbana 9 - Poluição
Amydetes,Amydetes bellorum,9.6 - Excesso de energia
Amydetes,Amydetes bellorum,9.6.1 - Poluição luminosa
Achirus,Achirus mucuri,10 - Eventos geológicos 1 - Desenvolvimento residencial e comercial 5 - Uso de recursos biológicos 5 - Uso de recursos biológicos
Achirus,Achirus mucuri,5.4 - Pesca e uso de recursos aquáticos 5 - Uso de recursos biológicos
Achirus,Achirus mucuri,5.4 - Pesca e uso de recursos aquáticos
Achirus,Achirus mucuri,5.4.5 - Captura indireta - subsistência/pequena escala
Achirus,Achirus mucuri,5.4.5.6 - Arrasto 7 - Modificações nos sistemas naturais 7 - Modificações nos sistemas naturais
Achirus,Achirus mucuri,7.3 - Outras modificações nos ecossistemas
