Genero,Especie,Ameaca
Anodorhynchus,Anodorhynchus leari,5.3.4 - Efeitos indiretos - larga escala
Arrhopalites,Acherontides eleonorae,6 - Distúrbios humanos 6 - Distúrbios humanos
Arrhopalites,Acherontides eleonorae,6.1 - Atividades recreacionais/turísticas
Aegla,Aegla cavernicola,1 - Desenvolvimento residencial e comercial
Aegla,Aegla cavernicola,1.1 - Expansão urbana 6 - Distúrbios humanos
Aegla,Aegla cavernicola,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Aegla,Aegla cavernicola,7.3 - Outras modificações nos ecossistemas 9 - Poluição
Aegla,Aegla cavernicola,9.1 - Doméstica e urbana - escoamento de água
Aegla,Aegla cavernicola,9.1.1 - Esgoto 9 - Poluição
Aegla,Aegla cavernicola,9.3 - Agropecuária e florestal
Aegla,Aegla cavernicola,9.3.2 - Erosão do solo/sedimentação 9 - Poluição
Aegla,Aegla cavernicola,9.4 - Lixo e resíduos sólidos
Aegla,Aegla cavernicola,9.4.1 - Urbanos
Aegla,Aegla leptochela,3 - Produção energética e mineração
Aegla,Aegla leptochela,3.2 - Mineração
Aegla,Aegla leptochela,3.2.3 - Extração de minérios - subsolo 6 - Distúrbios humanos
Aegla,Aegla leptochela,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Aegla,Aegla leptochela,7.3 - Outras modificações nos ecossistemas 8 - Espécies invasoras problemáticas e doenças
Aegla,Aegla leptochela,8.1 - Espécies exóticas
Aegla,Aegla leptochela,8.1.1 - Espécie conhecida
Aegla,Aegla leptochela,8.1.1.1 - Competidores 8 - Espécies invasoras problemáticas e doenças
Aegla,Aegla leptochela,8.1 - Espécies exóticas
Aegla,Aegla leptochela,8.1.1 - Espécie conhecida
Aegla,Aegla leptochela,8.1.1.2 - Predadores 9 - Poluição
Aegla,Aegla leptochela,9.2 - Industrial
Aegla,Aegla leptochela,9.2.2 - Infiltraçao oriunda de mineração 9 - Poluição
Aegla,Aegla leptochela,9.2 - Industrial
Aegla,Aegla leptochela,9.2.3 - Contaminação por metais pesados
Aegla,Aegla microphthalma,3 - Produção energética e mineração
Aegla,Aegla microphthalma,3.2 - Mineração
Aegla,Aegla microphthalma,3.2.3 - Extração de minérios - subsolo 6 - Distúrbios humanos
Aegla,Aegla microphthalma,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Aegla,Aegla microphthalma,7.3 - Outras modificações nos ecossistemas 8 - Espécies invasoras problemáticas e doenças
Aegla,Aegla microphthalma,8.2 - Espécies domésticas
Aegla,Aegla microphthalma,8.2.1 - Competidores 8 - Espécies invasoras problemáticas e doenças
Aegla,Aegla microphthalma,8.2 - Espécies domésticas
Aegla,Aegla microphthalma,8.2.2 - Predadores 9 - Poluição
Aegla,Aegla microphthalma,9.2 - Industrial
Aegla,Aegla microphthalma,9.2.2 - Infiltraçao oriunda de mineração 9 - Poluição
Aegla,Aegla microphthalma,9.2 - Industrial
Aegla,Aegla microphthalma,9.2.3 - Contaminação por metais pesados
Amazoniscus,Amazoniscus leistikowi,11 - Mudanças e extremos climáticos
Amazoniscus,Amazoniscus leistikowi,11.1 - Mudança/alteração de habitat 2 - Agropecuária e Aquacultura
Amazoniscus,Amazoniscus leistikowi,2.3 - Pecuária
Amazoniscus,Amazoniscus leistikowi,2.3.4 - Pecuária em escala desconhecida 3 - Produção energética e mineração
Amazoniscus,Amazoniscus leistikowi,3.3 - Energia renovável
Amazoniscus,Amazoniscus leistikowi,3.3.1 - Hidrelétricas 5 - Uso de recursos biológicos
Amazoniscus,Amazoniscus leistikowi,5.3 - Extração florestal
Amazoniscus,Amazoniscus leistikowi,5.3.5 - Motivação desconhecida 7 - Modificações nos sistemas naturais
Amazoniscus,Amazoniscus leistikowi,7.2 - Represas e uso de água
Amazoniscus,Amazoniscus leistikowi,7.2.10 - Represas (grandes) 7 - Modificações nos sistemas naturais
Amazoniscus,Amazoniscus leistikowi,7.3 - Outras modificações nos ecossistemas
Archolaemus,Archolaemus ferreirai,3 - Produção energética e mineração
Archolaemus,Archolaemus ferreirai,3.2 - Mineração
Archolaemus,Archolaemus ferreirai,3.2.4 - Extração de minérios - garimpo 3 - Produção energética e mineração
Archolaemus,Archolaemus ferreirai,3.3 - Energia renovável
Archolaemus,Archolaemus ferreirai,3.3.1 - Hidrelétricas
Archolaemus,Archolaemus santosi,3 - Produção energética e mineração
Archolaemus,Archolaemus santosi,3.3 - Energia renovável
Archolaemus,Archolaemus santosi,3.3.1 - Hidrelétricas
Arrhopalites,Arrhopalites alambariensis,1 - Desenvolvimento residencial e comercial
Arrhopalites,Arrhopalites alambariensis,1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial
Arrhopalites,Arrhopalites alambariensis,1.3 - Áreas de turismo e recreação 6 - Distúrbios humanos
Arrhopalites,Arrhopalites alambariensis,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Arrhopalites,Arrhopalites alambariensis,7.3 - Outras modificações nos ecossistemas
Arrhopalites,Arrhopalites amorimi,6 - Distúrbios humanos
Arrhopalites,Arrhopalites amorimi,6.1 - Atividades recreacionais/turísticas
Arrhopalites,Arrhopalites botuveraensis,1 - Desenvolvimento residencial e comercial
Arrhopalites,Arrhopalites botuveraensis,1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial
Arrhopalites,Arrhopalites botuveraensis,1.3 - Áreas de turismo e recreação 6 - Distúrbios humanos
Arrhopalites,Arrhopalites botuveraensis,6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais
Arrhopalites,Arrhopalites botuveraensis,7.2 - Represas e uso de água
Arrhopalites,Arrhopalites botuveraensis,7.2.11 - Represas (tamanho desconhecido) 7 - Modificações nos sistemas naturais
Arrhopalites,Arrhopalites botuveraensis,7.3 - Outras modificações nos ecossistemas
